Category,brand,brand_name_weight,full_price,name,sale_price,store,weight
Fresh Fruits,Blackberries,"['Blackberries', ' 6 oz']",$4.99, 6 oz,na,Bristol Farms,na
Fresh Fruits,Dole,"['Dole', ' Organic Bananas', ' 1 Count']",$0.99, Organic Bananas,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Seedless Watermelon Chunks']",$5.69, Seedless Watermelon Chunks,na,Bristol Farms,na
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Bananas Yellow', ' 1 Count']",$0.79, Bananas Yellow,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Lemons', ' 1 Count']",$0.79, Lemons,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Pineapple Chunks']",$7.69, Pineapple Chunks,na,Bristol Farms,na
Fresh Fruits,Avocados Hass Small Organic,"['Avocados Hass Small Organic', ' 1 Count']",$3.99, 1 Count,na,Bristol Farms,na
Fresh Fruits,Grapes Red Seedless,"['Grapes Red Seedless', ' 1 Each']",$3.99, 1 Each,$2.48,Bristol Farms,na
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Strawberries', ' 1 Pint']",$3.49, Strawberries,na,Bristol Farms, 1 Pint
Fresh Fruits,Grapes White/Green Seedless,"['Grapes White/Green Seedless', ' 1 Each']",$3.99, 1 Each,$2.48,Bristol Farms,na
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Limes', ' 1 Count']",$0.79, Limes,$0.25,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Small Avocado', ' 1 Each']",$1.99, Small Avocado,na,Bristol Farms, 1 Each
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Nectarine Sweet White', ' 1 Count']",$3.99, Nectarine Sweet White,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Apples Fuji Small Organic', ' 1 Count']",$3.49, Apples Fuji Small Organic,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Berries Mixed']",$9.89, Berries Mixed,na,Bristol Farms,na
Fresh Fruits,Navel,"['Navel', ' Large Orange', ' 1 Count']",$1.98, Large Orange,$1.50,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Strawberries', ' 1 Quart']",$6.49, Strawberries,na,Bristol Farms, 1 Quart
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Peaches Yellow Large', ' 1 Count']",$2.49, Peaches Yellow Large,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' White Peach', ' 1 Count']",$2.99, White Peach,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Fuji Apples', ' 1 Count']",$1.99, Fuji Apples,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Melon Watermelon Petite', ' 1 Count']",$3.99, Melon Watermelon Petite,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Sliced Mango']",$9.99, Sliced Mango,na,Bristol Farms,na
Fresh Fruits,Avocados Hass Large Organic,"['Avocados Hass Large Organic', ' 1 Count']",$3.99, 1 Count,na,Bristol Farms,na
Fresh Fruits,Apples Granny Smith Small,"['Apples Granny Smith Small', ' 1 Each']",$2.99, 1 Each,na,Bristol Farms,na
Fresh Fruits,Brisol Farms,"['Brisol Farms', ' Honeydew Melon', ' 1 Count']",$0.98, Honeydew Melon,$0.79,Bristol Farms, 1 Count
Fresh Fruits,Melon Cantaloupe,"['Melon Cantaloupe', ' 1 Each']",$0.69, 1 Each,na,Bristol Farms,na
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Pears Bartlett Large', ' 1 Count']",$1.99, Pears Bartlett Large,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Red Plum', ' 1 Count']",$3.99, Red Plum,na,Bristol Farms, 1 Count
Fresh Fruits,na,['Organic Thompson Grapes'],$4.99,Organic Thompson Grapes,$3.88,Bristol Farms,na
Fresh Fruits,Freska,"['Freska', ' Mango', ' 1 Count']",$1.00, Mango,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Mango', ' 1 Count']",$1.25, Mango,na,Bristol Farms, 1 Count
Fresh Fruits,Kiwi Fruit Organic,"['Kiwi Fruit Organic', ' 1 Count']",$0.79, 1 Count,na,Bristol Farms,na
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Apples Envy', ' 1 Count']",$3.99, Apples Envy,na,Bristol Farms, 1 Count
