Category,brand,brand_name_weight,full_price,name,sale_price,store,weight
Salads,nan,"['Bristol Farms', ' Beet Salad']",$8.49,Bristol Farms,na,Bristol Farms, Beet Salad
Salads,nan,"['Bristol Farms', ' Tuna Salad']",$13.49,Bristol Farms,na,Bristol Farms, Tuna Salad
Salads,nan,"['Bristol Farms', ' Tuna Salad Reduced Fat']",$13.69,Bristol Farms,na,Bristol Farms, Tuna Salad Reduced Fat
Salads,nan,"['Bristol Farms', ' Broccoli Crunch Salad']",$10.99,Bristol Farms,na,Bristol Farms, Broccoli Crunch Salad
Salads,nan,"['Bristol Farms', ' Macaroni Salad']",$7.99,Bristol Farms,na,Bristol Farms, Macaroni Salad
Salads,nan,"['Bristol Farms', ' Turkey Salad']",$12.99,Bristol Farms,na,Bristol Farms, Turkey Salad
Salads,nan,"['Bristol Farms', ' Pesto Pasta Salad']",$8.99,Bristol Farms,na,Bristol Farms, Pesto Pasta Salad
Salads,nan,"['Bristol Farms', ' Curry Chicken Salad']",$10.49,Bristol Farms,$7.99,Bristol Farms, Curry Chicken Salad
Salads,Apio,"['Apio', ' Apio Sweet Kale Veg Salad Kit', ' 12 Ounce']",$4.49, Apio Sweet Kale Veg Salad Kit,na,Bristol Farms, 12 Ounce
Salads,nan,"['Bristol Farms', ' Lemon Pasta W/chicken Salad']",$10.99,Bristol Farms,na,Bristol Farms, Lemon Pasta W/chicken Salad
Salads,nan,"['Bristol Farms', ' Orzo Salad']",$8.79,Bristol Farms,na,Bristol Farms, Orzo Salad
Salads,nan,"['Bristol Farms', ' Spinach Pasta Salad']",$8.99,Bristol Farms,na,Bristol Farms, Spinach Pasta Salad
Salads,nan,"['Bristol Farms', ' Alaskan Seafood Salad']",$12.99,Bristol Farms,na,Bristol Farms, Alaskan Seafood Salad
Salads,nan,"['Bristol Farms', ' Mediterranean Couscous']",$10.99,Bristol Farms,na,Bristol Farms, Mediterranean Couscous
Salads,nan,"['Bristol Farms', ' Bow Tie Pasta']",$10.99,Bristol Farms,na,Bristol Farms, Bow Tie Pasta
