brand,category,description,important_info,name,price,store
Gatorade,Sports & Energy Drinks,"When you sweat, you lose more than water. You also lose critical electrolytes, like sodium and potassium, which help regulate fluid level balance throughout the body. Muscles rely on fluid and fuel to thrive on the field. Gatorade Thirst Quencher's carb-to-fluid ratio is tailor-made for efficiency, rehydrating rapidly and feeding muscles with their preferred fuel, carbs, for a one-two punch that water can't match.",,"Gatorade Frost Glacier Freeze 20 Ounce Bottles, Pack of 8",6.19,Amazon
Premier Protein,Sports & Energy Drinks,"Each Premier Protein shake contains 30 grams of protein, complete with all of the essential amino acids, 1g of sugar, 5g carbs,160 calories, 24 vitamins & minerals, and is also low in fat.  We use a proprietary blend of milk protein, casein and whey protein in our shakes to help fuel muscles quickly and for several hours to help support your goals. Enjoy a shake as a meal replacement or a healthy snack. They are perfect for breakfast on-the-go, an afternoon snack, or as pre- or post-workout fuel. They are delicious as is, but are also highly customizable. Try blending with your favorite fruits and vegetables for a delicious smoothie or adding to cereal or oatmeal. Available in 3 delicious flavors: Chocolate, Vanilla and Strawberries & Cream.",,"Premier Protein 30g Protein Shakes, Chocolate, 11 Fluid Ounces, 4 Per Pack",9.99,Amazon
Gatorade,Sports & Energy Drinks,"When you sweat, you lose more than water. You also lose critical electrolytes, like sodium and potassium, which help regulate fluid level balance throughout the body. Muscles rely on fluid and fuel to thrive on the field. Gatorade Thirst Quencher's carb-to-fluid ratio is tailor-made for efficiency, rehydrating rapidly and feeding muscles with their preferred fuel, carbs, for a one-two punch that water can't match.",,"Gatorade Thirst Quencher, Lemon Lime, 20 Ounce Bottles, Pack of 8",5.99,Amazon
Gatorade,Sports & Energy Drinks,"With a legacy over 40 years in the making, it’s the most scientifically researched and game-tested way to replace electrolytes lost in sweat. Gatorade Frost has a light, crisp flavor that hydrates better than water, which is why it’s trusted by some of the world’s best athletes. Whether you play soccer, baseball, volleyball, or any other sport, Gatorade will help you stay hydrated and bring the energy needed to compete. It’s also great to store in your cooler or sports bottle when going camping, hitting the beach, tailgating at the big game, having a picnic, or enjoying the great outdoors. Beat the heat and stay hydrated with Gatorade Thirst Quencher.","Important information

Ingredients
Fruit Punch:Water, Sucrose, Citric Acid, Natural and Artificial Flavor, Salt, Sodium Citrate, Monopotassium Phosphate, Sucralose, Red 40, Acesulfame Potassium.Glacier Freeze:Water, Sucrose, Citric Acid, Natural Flavor, Salt, Sodium Citrate, Monopotassium phosphate, Sucralose, Acesulfame Potassium, Blue 1.Grape:Water, Sucrose, Citric Acid, Salt, Sodium Citrate, Natural and Artificial Flavor, Monopotassium Phosphate, Sucralose, Acesulfame Potassium, Red 40, Blue 1.


Directions
ready to drink


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade G2 Thirst Quencher Low Calorie Variety Pack, 12 Ounce Bottles (Pack of 18)",8.99,Amazon
Red Bull,Sports & Energy Drinks,"RED BULL GIVES YOU WINGS In 1987, Red Bull not only launched a completely new product, it created a whole new product category — energy drinks. From day one, Red Bull has been giving wings to people and ideas, setting many milestones in sports and culture.  When To Drink Red Bull is appreciated worldwide by a variety of people such as top athletes, busy professionals, college students and travelers on long journeys. Red Bull was the first global energy drink brand to address the consumer need for sugar free energy drinks and launched its Red Bull sugar free variants.  What's Inside The Can Caffeine: Caffeine has already been known for its stimulating effects on the human body by ancient civilizations who consumed it from natural sources like tea, coffee, cacao beans & cola nuts. Taurine: Taurine is an amino acid, naturally occurring in the human body and present in the daily diet. It is involved in a wide range of biological processes. B-group vitamins: Vitamins are essential micronutrients that are required for maintaining normal body functions. B-group vitamins play an important role in energy metabolism, such as the build-up and breakdown of carbohydrates and protein. Aspartame & Acesulfame K: Aspartame and Acesulfame K are among the most-tested and most-used sugar substitutes worldwide. Both have an excellent safety profile.  4 Red Bull Sugarfree  You add to your basket a 4 pack of Red Bull Sugarfree, 8.4 Fl Oz per can.  Sustainability Red Bull is very aware of its environmental responsibility and is constantly striving for improvement. Red Bull has made a conscious decision to use 100% recyclable aluminium cans, and we developed our Red Bull Coolers which use up to 45% less energy than conventional fridges.",,"Red Bull Energy Drink, Sugar Free, 4 Pack of 8.4 Fl Oz, Sugarfree",7.79,Amazon
Atkins,Sports & Energy Drinks,"Enjoy the taste of rich chocolate and real coffee with Atkins Mocha Latte Protein-Rich Shakes and give your body the steady energy it needs. Packed with essential vitamins and minerals, 15 grams of protein and 1 gram of sugar per serving, our shakes keep you satisfied throughout the day. Each shake is gluten free and contains 3 grams of net carbs, making it perfect for a low carb and keto friendly* lifestyle. Includes one box of 4 ready-to-drink mocha latte protein shakes. The Atkins Diet and Lifestyle provides quick, effective, and balanced weight loss by limiting carbs and sugar to help the body burn fat for fuel and keep your energy steady. With over 80 published clinical studies to support the principles behind the Atkins Diet, we provide filling and delicious snacks to help you stay on track! *When used with Atkins ketogenic programs",,"Atkins Gluten Free Protein-Rich Shake, Mocha Latte, Keto Friendly, 4 Count",5.88,Amazon
Liquid Iv,Sports & Energy Drinks,"Liquid i.v.âs hydration multiplier is a great-tasting, portable powder drink mix that uses the breakthrough science of cellular transport technology (ctt)â to deliver hydration to your bloodstream 2-3x faster and more efficiently than water alone. Based on the science pioneered by the world health organization (who), liquid i.v.â is specially formulated using a precise ratio of nutrients that, when absorbed, aid in the bodyâs everyday processes. Translation? more fuel for lifeâs adventures. Best of all, when you choose to hydrate, it helps others do the same. We currently donate thousands of servings of liquid i.v.â both locally here in the the united states and to developing nations around the world, optimizing the benefits of water for communities who need it most. We are committed to our mission of defeating dehydration globally.","Important information

Ingredients
Cane Sugar, Dextrose, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Dipotassium Phosphate, Silicon Dioxide, Rebaudioside-A (Stevia Leaf Extract), Natural Flavors, Vitamin C (Ascorbic Acid), Vitamin B3 (Niacinamide), Vitamin B5 (D-Calcium Pantothenate), Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B12 (Cyanocobalamin)


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Liquid IV, Lemon Lime Hydration 8 Sticks, 16 Gram",23.99,Whole Foods Market
Gatorade,Sports & Energy Drinks,"When you sweat, you lose more than water. You also lose critical electrolytes, like sodium and potassium, which help regulate fluid level balance throughout the body. Muscles rely on fluid and fuel to thrive on the field. Gatorade Thirst Quencher's carb to fluid ratio is tailor made for efficiency, rehydrating rapidly and feeding muscles with their preferred fuel, carbs, for a one two punch that water can't match.","Important information

Ingredients
Lemon-Lime: Water, Sugar, Dextrose, Citric Acid, Salt, Sodium Citrate, Monopotassium Phosphate, Gum Arabic, Glycerol Ester Of Rosin, Natural Flavor, Yellow 5.Fruit Punch: Water, Sugar, Dextrose, Citric Acid, Salt, Sodium Citrate, Monopotassium Phosphate, Modified Food Starch, Natural Flavor, Red 40, Glycerol Ester of Rosin, Caramel Color.Orange: Water, Sugar, Dextrose, Citric Acid, Salt, Sodium Citrate, Monopotassium Phosphate, Gum Arabic, Natural Flavor, Sucrose Acetate Isobutyrate, Glycerol Ester of Rosin, Yellow 6.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade Multipack 12oz bottles, 6-Lemon Lime, 6-Fruit Punch, 6-Orange",8.99,Amazon
Monster Energy,Sports & Energy Drinks,"Some people are impossible to please. As soon as they get what they thought they wanted they always want more. Our team riders and Monster Girls are no different...they’ve been dropping some hints lately. They’ve been asking us for a new Monster drink. A little less sweet, lighter-tasting, zero calories, but with a full load of our Monster energy blend. Sure, white is the new black. We went all out: Monster Energy Zero Ultra. Unleash the Ultra Beast!","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Monster Energy, Zero Ultra, 16 Ounce, 10 Count",16.99,Amazon
Ensure,Sports & Energy Drinks,"From the #1 doctor-recommended brand, Ensure High Protein nutritional shakes provide targeted high-protein nutrition to help you stay active and energetic. Each delicious shake has 16g of high-quality protein, 2g of fat, 23 essential vitamins and minerals, and 160 calories. * 75% more protein than Ensure Original. Ensure High Protein, 16g protein/160 calories per 8 fl oz versus Ensure Original, 9g protein/220 calories per 8 fl oz. † Not for people with galactosemia.",,"Ensure High Protein Nutritional Shake with 16g of High-Quality Protein, Ready-to-Drink Meal Replacement Shakes, Low Fat, Milk Chocolate, 8 fl oz, 6 Count",9.49,Amazon
